,Plant State,AER Fuel Code,m,b,Rsq,Std Error
288,UT,COL,-0.016408941814057575,33.79420238315972,0.8121806444778765,0.002495309559183005
289,UT,DFO,-4.5268739402131835e-05,0.09190102395292482,0.277490013084967,2.309918459141784e-05
290,UT,GEO,0.0006097305362147168,-1.218340281156877,0.7875844050526082,0.00010013423649589683
291,UT,HPS,0.0,0.0,0.0,0.0
292,UT,HYC,0.00019911628706443735,-0.3829365109455159,0.019516998023485888,0.00044629324219690896
293,UT,MLG,0.00016307030815798122,-0.3267128368989697,0.9105213220565312,1.616551746466156e-05
294,UT,NG,0.013286112710878211,-26.564935337410084,0.6947580937108749,0.0027848589499629792
295,UT,NUC,0.0,0.0,0.0,0.0
296,UT,OOG,-0.0002033164508771693,0.4094726622545273,0.6997249437644426,5.4374195622698275e-05
297,UT,ORW,2.1203602672147786e-05,-0.042552307084695706,0.5883007859379729,5.609187560005994e-06
298,UT,OTH,0.0003023076477675672,-0.6050455160703787,0.3920044368254575,0.00012549678297590677
299,UT,PC,0.0,0.0,0.0,0.0
300,UT,RFO,0.0,0.0,0.0,0.0
301,UT,SUN,3.313421915873638e-05,-0.06650728466978034,0.2962974506056296,1.6147576298262986e-05
302,UT,WND,0.0018507969521131416,-3.711853297475452,0.8084872591901578,0.00028485314666469564
303,UT,WOC,-2.2622535261410264e-06,0.014315706973007759,0.00015160958763966998,5.809583745347149e-05
304,UT,WOO,0.0,0.0,0.0,0.0
305,UT,WWW,0.0,0.0,0.0,0.0
306,OK,COL,-0.016132680703637246,32.87034080870787,0.84027041330873,0.002224281175640141
307,OK,DFO,-1.3544700026021775e-05,0.027421944073164107,0.2819490470071425,6.835364950050562e-06
308,OK,GEO,0.0,0.0,0.0,0.0
309,OK,HPS,0.00016198455862355402,-0.32742250051315014,0.5945165798476005,4.2303683281371565e-05
310,OK,HYC,-0.0014174629996775235,2.881255505138202,0.13357096469693905,0.001141621656643958
311,OK,MLG,3.087537729402165e-05,-0.0619519580394633,0.6523520644029921,1.0079896621145495e-05
312,OK,NG,0.0008225195857577157,-1.2131551964827227,0.00663929288865447,0.003181550513261458
313,OK,NUC,0.0,0.0,0.0,0.0
314,OK,OOG,-2.111671407823896e-05,0.042528628747431074,0.4194888278971508,8.782667429609867e-06
315,OK,ORW,0.00010941455084521821,-0.21892530056377466,0.24382188491235918,6.0932751785973066e-05
316,OK,OTH,-1.0079946568195714e-05,0.02035959900489608,0.13689185241207413,8.436858847903356e-06
317,OK,PC,1.1323658809711598e-05,-0.022702426092297126,0.9036144578313251,2.61508698479939e-06
318,OK,RFO,-0.0001561071396154536,0.3138966752561815,0.281583616103718,0.00011151214943920369
319,OK,SUN,7.860469631653835e-07,-0.001577858270727313,0.23076923076923073,4.53824425779222e-07
320,OK,WND,0.016631889918736327,-33.34901610740866,0.8890619995898473,0.0018578718084618308
321,OK,WOC,0.0,0.0,0.0,0.0
322,OK,WOO,6.988299342339478e-09,-1.3886187195382187e-05,0.00810738799854714,3.456832578947217e-08
323,OK,WWW,-5.4836947530643765e-05,0.11330116306774551,0.025054241605614112,0.00010817399487525506
324,AR,COL,-0.0006872685878917947,1.8525150276981843,0.0039974271578173395,0.003430571263839567
325,AR,DFO,-1.4252362644313543e-06,0.0034950588656529717,0.0008911965235177934,1.5090600265179372e-05
326,AR,GEO,0.0,0.0,0.0,0.0
327,AR,HPS,2.2593005714064786e-05,-0.04475694258341779,0.03424731136438341,3.7939686154137594e-05
328,AR,HYC,-0.0014237796949415722,2.917314853541821,0.09533874586140445,0.0013869189201995548
329,AR,MLG,0.00011056975563433142,-0.22154500828884283,0.9171779979170236,1.050708868964689e-05
330,AR,NG,0.01042661638461937,-20.768770154540828,0.5639518483208625,0.0028992763176897587
331,AR,NUC,-0.006843878710693281,14.009549297445645,0.6964553642529059,0.0014287851954210699
332,AR,OOG,0.0,0.0,0.0,0.0
333,AR,ORW,-1.7694287008154796e-06,0.003974474057353183,0.0011811090357610856,1.6271644424477685e-05
334,AR,OTH,6.451086102038697e-06,-0.012618624370334787,0.027194715464545136,1.2201227906840287e-05
335,AR,PC,1.1815332945348266e-05,-0.02364804260554536,0.0495240788202359,5.1761674891932875e-05
336,AR,RFO,-0.0005523587321372369,1.1114708723154443,0.5269795335495977,0.00016548716488688992
337,AR,SUN,6.463753015950046e-07,-0.0012974906887350392,0.23076923076923073,3.731849543734015e-07
338,AR,WND,0.0,0.0,0.0,0.0
339,AR,WOC,0.0,0.0,0.0,0.0
340,AR,WOO,-7.08231255147933e-06,0.014305793160119278,0.2557315994863171,3.820741728487164e-06
341,AR,WWW,-0.001045542445047688,2.1287736712524077,0.8214951024879885,0.000154121861886161
342,IL,COL,-0.00763518626386027,15.793531185845616,0.756082755766944,0.001371374981378182
343,IL,DFO,-3.658354035689474e-05,0.07403430589213832,0.7668891626123197,6.3782371653683e-06
344,IL,GEO,0.0,0.0,0.0,0.0
345,IL,HPS,0.0,0.0,0.0,0.0
346,IL,HYC,-1.7844482305157042e-05,0.03654816288808462,0.44191570792072166,6.341385175303868e-06
347,IL,MLG,-2.405072972470736e-05,0.05142917122275899,0.09770963188480136,2.3111744618832962e-05
348,IL,NG,0.0017622227624884315,-3.5082318152430334,0.26309854776046643,0.0009326233560161008
349,IL,NUC,0.0008412996395055843,-1.2066305867098273,0.1626231675725056,0.0006036983173958875
350,IL,OOG,7.997205000947238e-05,-0.1596015188792963,0.3272625568593215,3.625875346441049e-05
351,IL,ORW,-9.252989705655741e-06,0.0186395647093041,0.2317507838261417,5.327488685904735e-06
352,IL,OTH,0.00013253758566609717,-0.26547022775228934,0.6059008330958676,3.3801894248931656e-05
353,IL,PC,-5.7540211176716326e-05,0.11576016673239267,0.7332048883710485,1.7354724102677782e-05
354,IL,RFO,-0.0003259957645351409,0.6547500160013319,0.4715948356922984,0.00015432133152325908
355,IL,SUN,2.6906649077755925e-05,-0.0539827408547114,0.81517165187054,4.05153291467487e-06
356,IL,WND,0.005642889725708325,-11.316311259026056,0.9582616059311868,0.000372415190260996
357,IL,WOC,-0.0004662205379213846,0.9400756209400578,0.7641282960279295,0.00010574760913140431
358,IL,WOO,-3.87312667131982e-08,7.790906347993797e-05,0.3977272651437773,1.5071817279859175e-08
