,State,Sector,m,b,Rsq,Std Error
254,Arkansas , commercial,0.07219452544336459,-137.0390620515641,0.38201659397244025,0.025467122809781185
255,Arkansas , industrial,0.06912216115403236,-132.87725888049442,0.41997079213676186,0.022529991093735373
256,Arkansas , transportation,,,,
257,Arkansas , other,,,,
258,Louisiana , all sectors,-0.08465958160360662,178.67481704508106,0.15500364202394087,0.05482276164024816
259,Louisiana , residential,-0.05500779478478511,120.40259580747913,0.09704266846766929,0.046537688448076035
260,Louisiana , commercial,-0.0640203900112299,138.03818535861058,0.09489413418641639,0.05483737346441833
261,Louisiana , industrial,-0.12422825756770071,256.193356723485,0.23226456451827848,0.06264162747768175
262,Louisiana , transportation,,,,
263,Louisiana , other,,,,
264,Oklahoma , all sectors,0.0207017000983108,-33.44178714557495,0.052384629440580796,0.024420156719936435
265,Oklahoma , residential,0.07130172725013745,-133.38569827112804,0.4959663304642061,0.019935725781992642
266,Oklahoma , commercial,-0.012436138490994529,33.084544980284676,0.01646471422583528,0.026658256834628344
267,Oklahoma , industrial,-0.0033088565422742947,12.447069891278158,0.0009935538994076095,0.029100114074825593
268,Oklahoma , transportation,,,,
269,Oklahoma , other,,,,
270,Texas , all sectors,-0.06228762690489157,135.15608989940324,0.04714954234251347,0.07766113645424777
271,Texas , residential,0.0007915228020707701,10.941806037809291,6.465801377867244e-06,0.0863334647726995
272,Texas , commercial,-0.13334068600278,277.61687605791724,0.21881104336843646,0.06987703004662568
273,Texas , industrial,-0.09868547353574117,205.38969751679764,0.1050908019813226,0.07987091983449762
274,Texas , transportation,,,,
275,Texas , other,,,,
276,Mountain , all sectors,0.09471716681113683,-181.18098570114114,0.9176659021220995,0.007868729047289092
277,Mountain , residential,0.14482439708349518,-279.8441905595864,0.955023649657585,0.008716760136525566
278,Mountain , commercial,0.10038870428277269,-192.39529948929558,0.9354426890791511,0.00731437624128283
279,Mountain , industrial,0.031343825987459106,-56.39623395094344,0.499177928178897,0.008707517873206061
280,Mountain , transportation,,,,
281,Mountain , other,,,,
282,Arizona , all sectors,0.1033954399827487,-197.64804254421966,0.742421372230823,0.016891156637904733
283,Arizona , residential,0.13582039800555254,-261.3324980117829,0.8631303543284089,0.015000602369606892
284,Arizona , commercial,0.10041696746956823,-191.85678053485347,0.6615996939488904,0.019918340460290243
285,Arizona , industrial,-0.005462110222236238,17.85336263542855,0.00618179054214846,0.0192081312955284
286,Arizona , transportation,,,,
287,Arizona , other,,,,
288,Colorado , all sectors,0.1730489702216935,-338.2110098819692,0.8595525244276426,0.019400731346742712
289,Colorado , residential,0.20778202737628307,-406.0472197987734,0.906296258361563,0.018530181629684145
290,Colorado , commercial,0.1985584550241516,-389.54819027344155,0.8303438301993185,0.02489273159034602
291,Colorado , industrial,0.12489438647295577,-243.80526750397183,0.7974490562494727,0.017457695094223267
292,Colorado , transportation,,,,
293,Colorado , other,,,,
294,Idaho , all sectors,0.12266721873822727,-239.44387125485207,0.5346427474248129,0.031740827570735576
295,Idaho , residential,0.16172283007722182,-316.3240555873974,0.6491699532872309,0.03297378804592792
296,Idaho , commercial,0.07659949556361355,-146.84233121840785,0.3487893913928541,0.029029084084259422
297,Idaho , industrial,0.1208117242531019,-237.19916130112696,0.5607483380722388,0.029655832200234017
298,Idaho , transportation,,,,
299,Idaho , other,,,,
300,Montana , all sectors,0.08468921852775928,-161.6819641274884,0.6323926599432685,0.017908331550589327
301,Montana , residential,0.11320688621717141,-217.29543875102217,0.8656390766841199,0.012369986688281829
302,Montana , commercial,0.14184250614649993,-275.60981443869633,0.8382568483444822,0.017280611852019505
